utc,obssec,lat,long,altitude,vel_n(NED),vel_e(NED),vel_d(NED)
2026-02-06 11:19:32.381,472788.300000,33.598281810,73.138903370,434.362,-0.017597,-0.000428,-0.146431
2026-02-06 11:19:32.503,472788.400000,33.598283490,73.138904620,434.150,-0.112703,-0.083812,0.136247
2026-02-06 11:19:32.630,472788.500000,33.598283380,73.138899790,434.146,0.347327,0.102185,0.473508
2026-02-06 11:19:32.693,472788.600000,33.598281610,73.138896450,434.743,-0.182960,-0.086118,0.224073
2026-02-06 11:19:32.820,472788.700000,33.598282220,73.138898700,434.896,0.436651,0.347987,0.144768
2026-02-06 11:19:32.931,472788.800000,33.598279630,73.138894730,434.830,0.189537,0.195050,0.134159
2026-02-06 11:19:33.026,472788.900000,33.598279320,73.138890870,435.093,0.123326,0.110943,-0.041499
2026-02-06 11:19:33.090,472789.000000,33.598282410,73.138895510,434.720,-0.160289,-0.276698,-0.498613
2026-02-06 11:19:33.218,472789.100000,33.598281920,73.138896810,434.550,0.385848,0.601334,0.742887
2026-02-06 11:19:33.282,472789.200000,33.598281200,73.138895200,434.389,-0.127869,-0.248639,-0.236457
2026-02-06 11:19:33.408,472789.300000,33.598281420,73.138897210,434.411,-0.163713,-0.075352,-0.295488
2026-02-06 11:19:33.539,472789.400000,33.598278800,73.138897270,434.229,0.287783,0.454159,-0.186029
2026-02-06 11:19:33.601,472789.500000,33.598279520,73.138898270,433.789,-0.279790,-0.359166,-0.125274
2026-02-06 11:19:33.730,472789.600000,33.598281980,73.138900830,433.733,-0.175918,-0.096874,-0.101718
2026-02-06 11:19:33.795,472789.700000,33.598282470,73.138905590,433.541,0.032818,-0.037165,-0.023987
2026-02-06 11:19:33.920,472789.800000,33.598283820,73.138906690,432.995,-0.012539,-0.066018,-0.307606
2026-02-06 11:19:33.982,472789.900000,33.598283800,73.138909000,433.117,0.013960,-0.236379,-0.087386
2026-02-06 11:19:34.108,472790.000000,33.598285440,73.138910570,432.573,-0.116963,-0.171138,-0.606946
2026-02-06 11:19:34.235,472790.100000,33.598288260,73.138913700,432.445,-0.271795,-0.117011,-0.454366
2026-02-06 11:19:34.299,472790.200000,33.598288160,73.138914490,432.333,-0.645043,-0.662186,-0.697741
2026-02-06 11:19:34.427,472790.300000,33.598286890,73.138912450,432.836,-0.325603,-0.125530,-0.368645
2026-02-06 11:19:34.494,472790.400000,33.598286700,73.138911880,433.145,-0.034068,0.162970,0.322692
2026-02-06 11:19:34.616,472790.500000,33.598285570,73.138908970,433.292,0.020283,-0.024768,0.124590
2026-02-06 11:19:34.684,472790.600000,33.598284890,73.138906540,433.432,0.226295,0.116080,-0.031098
2026-02-06 11:19:34.808,472790.700000,33.598282810,73.138906450,433.246,0.066151,-0.163019,-0.260414
2026-02-06 11:19:34.934,472790.800000,33.598285860,73.138912460,432.742,0.333729,0.127157,0.232112
2026-02-06 11:19:34.998,472790.900000,33.598283790,73.138911410,432.848,0.218265,0.082147,-0.057478
2026-02-06 11:19:35.125,472791.000000,33.598283360,73.138909660,433.195,-0.406158,-0.418231,-0.524481
2026-02-06 11:19:35.193,472791.100000,33.598279820,73.138903410,433.776,-0.139539,-0.411713,-0.257279
2026-02-06 11:19:35.315,472791.200000,33.598280750,73.138906750,433.246,0.020733,0.137754,-0.003634
2026-02-06 11:19:35.442,472791.300000,33.598280320,73.138907970,433.265,-0.053409,-0.285559,-0.344216
2026-02-06 11:19:35.507,472791.400000,33.598278860,73.138905160,433.261,-0.047431,0.014300,0.235960
2026-02-06 11:19:35.633,472791.500000,33.598277790,73.138902170,433.506,0.373447,0.502781,0.581855
2026-02-06 11:19:35.697,472791.600000,33.598279310,73.138903520,433.217,0.446427,0.591287,0.633339
2026-02-06 11:19:35.826,472791.700000,33.598279980,73.138904660,433.236,0.298375,0.374646,0.425515
2026-02-06 11:19:35.895,472791.800000,33.598279970,73.138906000,432.926,0.231981,0.354482,0.291781
2026-02-06 11:19:36.016,472791.900000,33.598280280,73.138908560,432.522,0.132556,0.106194,-0.075344
2026-02-06 11:19:36.082,472792.000000,33.598281250,73.138912600,432.238,0.078889,-0.114720,0.173844
2026-02-06 11:19:36.206,472792.100000,33.598281840,73.138913280,432.114,-0.079218,-0.100188,-0.223077
2026-02-06 11:19:36.365,472792.200000,33.598282560,73.138913000,431.858,-0.280841,-0.391499,-0.348769
2026-02-06 11:19:36.434,472792.300000,33.598280060,73.138907840,432.025,0.467786,0.594555,0.080372
2026-02-06 11:19:36.497,472792.400000,33.598280370,73.138908350,431.889,0.008926,0.161092,-0.322871
2026-02-06 11:19:36.604,472792.500000,33.598282580,73.138912090,431.598,-0.021306,0.089521,0.091477
2026-02-06 11:19:36.732,472792.600000,33.598283370,73.138912460,431.303,-0.048866,-0.193945,-0.088988
